Date,Miners_Revenue,Difficuly,Cost_Per_Transaction,Average_Block_Size,Total_Bitcoins,Average_Transaction_Confirmation_time
11/02/2021,47377470.06192560000,21434395961349.00,152.232911640192,1.2711824186047,18626031.25,10.4
10/02/2021,49429153.26156690000,21434395961349.00,142.629216150783,1.2902988391608,18625368.75,11.71666667
09/02/2021,51636507.49752800000,21434395961349.00,140.847453575099,1.2789557342657,18624487.5,10.85
08/02/2021,48670642.79997870000,21434395961349.00,140.756909924803,1.3867732962963,18623381.25,7.991666667
07/02/2021,41085629.48255810000,21434395961349.00,143.473444575987,1.3935527884615,18622500,8.75
06/02/2021,45346981.33210900000,21384451039675.50,133.326810122660,1.2862396477987,18621406.25,11.36666667
05/02/2021,45671119.75391730000,20823531150112.00,125.057830651471,1.3038176686391,18620518.75,10.15
04/02/2021,43879560.21728370000,20823531150112.00,119.306666387385,1.2867745437500,18619418.75,9.85
03/02/2021,39131400.43937230000,20823531150112.00,113.613705275088,1.3018163200000,18618543.75,11.64166667
02/02/2021,38671645.45825110000,20823531150112.00,104.770258807699,1.3008425328947,18617443.75,10.90833333
01/02/2021,30096215.73409860000,20823531150112.00,105.791924825908,1.3131606750000,18616568.75,12.77083333
31/01/2021,33412205.26586170000,20823531150112.00,114.916115279504,1.3109724583333,18615906.25,12.02083333
30/01/2021,33651946.62402070000,20823531150112.00,107.750707220066,1.3017438382353,18614812.5,15.78333333
29/01/2021,39455373.63302350000,20823531150112.00,115.692694123270,1.3131472960526,18614156.25,11.15
28/01/2021,32031715.88466120000,20823531150112.00,96.861223067222,1.3159464068966,18613056.25,11.45833333
27/01/2021,30148573.70118430000,20823531150112.00,93.179706883213,1.2866154014085,18612181.25,10.5375
26/01/2021,35209827.72944120000,20823531150112.00,103.406856220715,1.3603941428571,18611306.25,9.85
25/01/2021,33137293.92393290000,20823531150112.00,105.340888330598,1.3805250428571,18610425,10.19583333
24/01/2021,30284997.15879110000,20823531150112.00,117.836329306721,1.3070278705036,18609543.75,10.25
23/01/2021,33751644.50689720000,20737086011821.60,110.585351372001,1.2897034709677,18608662.5,10.61666667
22/01/2021,31865792.14322750000,20607418304386.00,97.468280065541,1.2834188169014,18607568.75,12.45833333
21/01/2021,30287474.72314570000,20607418304386.00,104.168729314629,1.3130490930233,18606693.75,12.75
20/01/2021,34297105.93950230000,20607418304386.00,108.945760570702,1.2771157234043,18605818.75,11.78333333
19/01/2021,38439879.37535340000,20607418304386.00,116.702681605770,1.2782553154362,18604937.5,16.33333333
18/01/2021,36250411.75390890000,20607418304386.00,114.029429494152,1.3425268551724,18604062.5,17.1
17/01/2021,31937013.52078630000,20607418304386.00,117.469907092205,1.3245906842105,18603181.25,15.9
16/01/2021,38126679.70239870000,20607418304386.00,121.556491236836,1.3197683197279,18602300,15.71666667
15/01/2021,41733817.69406030000,20607418304386.00,121.318532142430,1.3152658064516,18601418.75,15.925
14/01/2021,42518141.32294260000,20607418304386.00,120.781595974554,1.2964830204082,18600543.75,16.08333333
13/01/2021,37493720.35220130000,20607418304386.00,117.473674760239,1.2648656644737,18599656.25,12.84166667
12/01/2021,38534703.86316560000,20607418304386.00,112.741822207297,1.3242120472973,18598562.5,18.33333333
11/01/2021,37697672.10557240000,20607418304386.00,112.881476429887,1.3372515000000,18597681.25,14.00833333
10/01/2021,43171347.77742750000,20607418304386.00,130.087076906053,1.2826913710692,18596806.25,13.4
09/01/2021,40693122.11401780000,19365166707094.70,122.957033648234,1.2609308633094,18595706.25,16.73333333
08/01/2021,42358095.25666040000,18599593048299.00,118.145114319911,1.2950110675676,18594825,15.57083333
07/01/2021,45226287.01495590000,18599593048299.00,111.948471788936,1.2695461250000,18593950,13.00833333
06/01/2021,43004565.11013950000,18599593048299.00,108.219166121785,1.2936679209040,18592850,11.775
05/01/2021,35314776.48318400000,18599593048299.00,99.733617864289,1.2927130828025,18591756.25,13.65
04/01/2021,39752808.81415800000,18599593048299.00,103.580664261223,1.3188061907514,18590881.25,12.88333333
03/01/2021,35922359.22404930000,18599593048299.00,100.029960302658,1.2886939240506,18589768.75,15.08333333
02/01/2021,31908499.94066270000,18599593048299.00,107.041738312957,1.3956372450331,18588675,11.625
01/01/2021,29068047.02881670000,18599593048299.00,111.931054112565,1.3522326644295,18587787.5,10.81666667
31/12/2020,33284139.09182730000,18599593048299.00,96.498701406790,1.2773650120482,18586912.5,13.71666667
30/12/2020,33896444.42080250000,18599593048299.00,99.033068304348,1.2565748895349,18585818.75,11.8
29/12/2020,28221057.09236310000,18599593048299.00,83.913571344271,1.2766434473684,18584712.5,13.8
28/12/2020,29968235.31118170000,18600034145237.10,96.083448150298,1.2966319312500,18583831.25,11.89166667
27/12/2020,27533619.89224240000,18670168558400.00,89.104124180005,1.3039597297297,18582737.5,13.30833333
26/12/2020,23722327.94400380000,18670168558400.00,86.228205866010,1.3848658394161,18581862.5,12.88333333
25/12/2020,23792132.98694330000,18670168558400.00,78.289090812282,1.2858441805556,18580981.25,15.24583333
24/12/2020,20751169.50128390000,18670168558400.00,76.981920474864,1.2701059523810,18580106.25,14.95833333
23/12/2020,26038110.23269850000,18670168558400.00,76.930448033311,1.2462769350649,18579231.25,12.6625
22/12/2020,23995220.12075100000,18670168558400.00,73.254427038561,1.3020790209790,18578356.25,16.05833333
21/12/2020,23298120.99114950000,18670168558400.00,85.645410400138,1.3453685000000,18577475,12.98333333
20/12/2020,24027162.60963900000,18670168558400.00,85.189714368515,1.3440260927152,18576593.75,12.66666667
19/12/2020,25884376.30984620000,18670168558400.00,75.346910687224,1.2656244746835,18575718.75,14.10416667
18/12/2020,27241477.87548200000,18670168558400.00,71.431322864340,1.2715359872611,18574618.75,15.41666667
